,city,lat,lng
0,delhi,28.66,77.23
1,mumbai,18.9667,72.8333
2,kolkata,22.5411,88.3378
3,bangalore,12.9699,77.598
4,chennai,13.0825,80.275
5,hyderābād,17.3667,78.4667
6,pune,18.5196,73.8553
7,ahmadābād,23.03,72.58
8,sūrat,21.17,72.83
9,lucknow,26.847,80.947
10,jaipur,26.9167,75.8667
11,cawnpore,26.4725,80.3311
12,mirzāpur,25.15,82.58
13,nāgpur,21.1539,79.0831
14,ghāziābād,28.6667,77.4167
15,indore,22.7206,75.8472
16,vadodara,22.3,73.2
17,visakhapatnam,17.7333,83.3167
18,bhopāl,23.25,77.4167
19,chinchvad,18.6278,73.8131
20,patna,25.61,85.1414
21,ludhiāna,30.9083,75.8486
22,āgra,27.18,78.02
23,kalyān,19.2502,73.1602
24,madurai,9.9197,78.1194
25,jamshedpur,22.8,86.1833
26,nashik,20.0,73.7833
27,farīdābād,28.4333,77.3167
28,aurangābād,19.88,75.32
29,rājkot,22.2969,70.7984
30,meerut,28.99,77.7
31,jabalpur,23.1667,79.9333
32,thāne,19.18,72.9633
33,dhanbād,23.7928,86.435
34,allahābād,25.455,81.84
35,vārānasi,25.3189,83.0128
36,srīnagar,34.0911,74.8061
37,amritsar,31.6167,74.85
38,alīgarh,27.88,78.08
39,bhiwandi,19.3,73.0667
40,gwalior,26.215,78.1931
41,bhilai,21.2167,81.4333
42,hāora,22.59,88.31
43,rānchi,23.3556,85.3347
44,bezwāda,16.5167,80.6167
45,chandīgarh,30.7353,76.7911
46,mysore,12.3086,76.6531
47,raipur,21.2379,81.6337
48,kota,25.18,75.83
49,bareilly,28.364,79.415
50,jodhpur,26.2918,73.0168
51,coimbatore,11.0,76.9667
52,dispur,26.15,91.77
53,guwāhāti,26.1667,91.7667
54,solāpur,17.6833,75.9167
55,trichinopoly,10.8269,78.6928
56,hubli,15.36,75.125
57,jalandhar,31.3256,75.5792
58,bhubaneshwar,20.2644,85.8281
59,bhayandar,19.3,72.85
60,morādābād,28.8418,78.7568
61,kolhāpur,16.7,74.2333
62,thiruvananthapuram,8.5,76.8997
63,sahāranpur,29.964,77.546
64,warangal,17.9756,79.6011
65,salem,11.65,78.1667
66,mālegaon,20.55,74.55
67,kochi,9.9667,76.2833
68,gorakhpur,26.7611,83.3667
69,shimoga,13.9304,75.56
70,tiruppūr,11.1075,77.3398
71,guntūr,16.3,80.45
72,raurkela,22.2492,84.8828
73,mangalore,12.8703,74.8806
74,nānded,19.15,77.3333
75,cuttack,20.45,85.8667
76,chānda,19.95,79.3
77,dehra dūn,30.318,78.029
78,durgāpur,23.55,87.32
79,āsansol,23.6833,86.9667
80,bhāvnagar,21.765,72.1369
81,amrāvati,20.9333,77.75
82,nellore,14.4333,79.9667
83,ajmer,26.468,74.639
84,tinnevelly,8.7289,77.7081
85,bīkaner,28.0181,73.3169
86,agartala,23.8333,91.2667
87,ujjain,23.1828,75.7772
88,jhānsi,25.4486,78.5696
89,ulhāsnagar,19.2167,73.15
90,davangere,14.4667,75.9167
91,jammu,32.7333,74.85
92,belgaum,15.8667,74.5
93,gulbarga,17.3333,76.8333
94,jāmnagar,22.47,70.07
95,dhūlia,20.9,74.7833
96,gaya,24.75,85.0167
97,jalgaon,21.0167,75.5667
98,kurnool,15.8222,78.035
99,udaipur,24.5833,73.6833
100,bellary,15.15,76.915
101,sāngli,16.8667,74.5667
102,tuticorin,8.7833,78.1333
103,calicut,11.25,75.7667
104,akola,20.7333,77.0
105,bhāgalpur,25.25,87.0167
106,sīkar,27.6119,75.1397
107,tumkūr,13.33,77.1
108,quilon,8.8853,76.5864
109,muzaffarnagar,29.4708,77.7033
110,bhīlwāra,25.35,74.6333
111,nizāmābād,18.6704,78.1
112,bhātpāra,22.8667,88.4167
113,kākināda,16.9333,82.2167
114,parbhani,19.2704,76.76
115,pānihāti,22.69,88.37
116,lātūr,18.4004,76.57
117,rohtak,28.9,76.5667
118,rājapālaiyam,9.4204,77.58
119,ahmadnagar,19.0833,74.7333
120,cuddapah,14.4667,78.8167
121,rājahmundry,16.9833,81.7833
122,alwar,27.5667,76.6167
123,muzaffarpur,26.12,85.3833
124,bilāspur,22.15,82.0167
125,mathura,27.4833,77.6833
126,kāmārhāti,22.67,88.37
127,patiāla,30.3204,76.385
128,saugor,23.8504,78.75
129,bijāpur,16.8244,75.7154
130,brahmapur,19.32,84.8
131,shāhjānpur,27.8804,79.905
132,trichūr,10.52,76.21
133,barddhamān,23.25,87.85
134,kulti,23.73,86.85
135,sambalpur,21.4704,83.9701
136,purnea,25.78,87.47
137,hisar,29.1489,75.7367
138,fīrozābād,27.15,78.3949
139,bīdar,17.9229,77.5175
140,rāmpur,28.8154,79.025
141,shiliguri,26.72,88.42
142,bāli,22.65,88.34
143,pānīpat,29.4004,76.97
144,karīmnagar,18.4333,79.15
145,bhuj,23.2504,69.81
146,ichalkaranji,16.7,74.47
147,tirupati,13.65,79.42
148,hospet,15.2667,76.4
149,āīzawl,23.7104,92.72
150,sannai,24.16,80.83
151,bārāsat,22.2333,88.45
152,ratlām,23.3167,75.0667
153,handwāra,34.4,74.28
154,drug,21.19,81.28
155,imphāl,24.82,93.95
156,anantapur,14.6833,77.6
157,etāwah,26.7855,79.015
158,rāichūr,16.2104,77.355
159,ongole,15.5,80.05
160,bharatpur,27.2172,77.49
161,begusarai,25.42,86.13
162,sonīpat,28.9958,77.0114
163,rāmgundam,18.8,79.45
164,hāpur,28.7437,77.7628
165,uluberiya,22.47,88.11
166,porbandar,21.6425,69.6047
167,pāli,25.7725,73.3233
168,vizianagaram,18.1167,83.4167
169,puducherry,11.93,79.83
170,karnāl,29.6804,76.97
171,nāgercoil,8.17,77.43
172,tanjore,10.8,79.15
173,sambhal,28.58,78.55
174,shimla,31.1033,77.1722
175,ghāndīnagar,23.22,72.68
176,shillong,25.5744,91.8789
177,new delhi,28.7,77.2
178,port blair,11.6667,92.75
179,gangtok,27.33,88.62
180,kohīma,25.6667,94.1194
181,itānagar,27.1,93.62
182,panaji,15.48,73.83
183,damān,20.417,72.85
184,kavaratti,10.5626,72.6369
185,panchkula,30.6915,76.8537
186,kagaznāgār,19.3316,79.4661
187,bengaluru,12.9716,77.5946
